docid	type	archive	Item	reference	dateday	datemonth	dateyear	periodstart	periodend	msdate	probateday	probatemonth	probateyear	msprobate	language	notes
423	cheapside gaz	cmh	gaz	p.60		0	1550					0	0		English	
424	cheapside gaz	cmh	gaz	p.60		0	1565					0	0		English	
425	cheapside gaz	cmh	gaz	p.60		0	1605					0	0		English	
426	cheapside gaz	cmh	gaz	p.60		0	1611					0	0		English	
427	cheapside gaz	cmh	gaz	p.60		0	0	1611	1626			0	0		English	
428	cheapside gaz	cmh	gaz	p.61		0	1626					0	0		English	
429	cheapside gaz	cmh	gaz	p.61		0		1626	1633			0	0		English	
430	cheapside gaz	cmh	gaz	p.61		0	0	1633	1649			0	0		English	
431	cheapside gaz	cmh	gaz	p.61		0	1638					0	0		English	
432	cheapside gaz	cmh	gaz	p.61		0	1644	1644	1646			0	0		English	
433	cheapside gaz	cmh	gaz	p.62		11	1648					0	0		English	
434	cheapside gaz	cmh	gaz	p.62		11	1649					0	0		English	
435	cheapside gaz	cmh	gaz	p.62		0	0	1649	1660			0	0		English	
436	cheapside gaz	cmh	gaz	p.62		0	0	1660	1666			0	0		English	
437	cheapside gaz	cmh	gaz	p.62		0	1663			1662-3		0	0		English	
438	cheapside gaz	cmh	gaz	p.62		0	1666					0	0		English	
439	cheapside gaz	cmh	gaz	p.62		11	1667					0	0		English	
440	cheapside gaz	cmh	gaz	p.62		10	1668					0	0		English	
441	cheapside gaz	cmh	gaz	p.62		5	1669					0	0		English	
442	cheapside gaz	cmh	gaz	p.62		0	1542					0	0		English	
443	cheapside gaz	cmh	gaz	p.62		0	1544					0	0		English	
444	cheapside gaz	cmh	gaz	p.62		0	1547					0	0		English	
445	cheapside gaz	cmh	gaz	p.62		0	1548					0	0		English	
446	cheapside gaz	cmh	gaz	p.62		0	1549					0	0		English	
447	cheapside gaz	cmh	gaz	p.62		0		1550	1552			0	0		English	
448	cheapside gaz	cmh	gaz	p.62		0		1552	1553			0	0		English	
449	cheapside gaz	cmh	gaz	p.62		0	0	1553	1570			0	0		English	
450	cheapside gaz	cmh	gaz	p.62		0	1566					0	0		English	
451	cheapside gaz	cmh	gaz	p.62		0	1570					0	0		English	
452	cheapside gaz	cmh	gaz	p.63		0	1570	1575				0	0		English	
453	cheapside gaz	cmh	gaz	p.63		0	1578					0	0		English	
454	cheapside gaz	cmh	gaz	p.63		0	1579					0	0		English	
455	cheapside gaz	cmh	gaz	p.63		0		1580	1584			0	0		English	
456	cheapside gaz	cmh	gaz	p.63		0	0	1585	1586			0	0		English	
457	cheapside gaz	cmh	gaz	p.63		0	1591					0	0		English	
458	cheapside gaz	cmh	gaz	p.63		0	1594					0	0		English	
459	cheapside gaz	cmh	gaz	p.63		0	1597					0	0		English	
460	cheapside gaz	cmh	gaz	p.63		0	0	1598	1599			0	0		English	
461	cheapside gaz	cmh	gaz	p.63		0	1599					0	0		English	
462	cheapside gaz	cmh	gaz	p.63		0	1599					0	0		English	
463	cheapside gaz	cmh	gaz	p.63		0	0	1599	1602			0	0		English	
464	cheapside gaz	cmh	gaz	p.63		0	0	1602	1618			0	0		English	
465	cheapside gaz	cmh	gaz	p.63		0	1615					0	0		English	
466	cheapside gaz	cmh	gaz	p.64		0	0	1618	1621			0	0		English	
467	cheapside gaz	cmh	gaz	p.64		0		1627	1628			0	0		English	
468	cheapside gaz	cmh	gaz	p.64		0	0	1621	1652			0	0		English	
469	cheapside gaz	cmh	gaz	p.64		0	1638					0	0		English	
470	cheapside gaz	cmh	gaz	p.64		0	1644					0	0		English	
471	cheapside gaz	cmh	gaz	p.65		0	0	1652	1666			0	0		English	
472	cheapside gaz	cmh	gaz	p.65		0	1657					0	0		English	
473	cheapside gaz	cmh	gaz	p.65		0	1662					0	0		English	
474	cheapside gaz	cmh	gaz	p.65		0	1663			1662-3		0	0		English	
475	cheapside gaz	cmh	gaz	p.65		1	1666					0	0		English	
476	cheapside gaz	cmh	gaz	p.65		0	1666					0	0		English	
477	cheapside gaz	cmh	gaz	p.65		0	0	1666	1668			0	0		English	
478	cheapside gaz	cmh	gaz	p.65		0	1668					0	0		English	
479	cheapside gaz	cmh	gaz	p.65		5	1669					0	0		English	
480	cheapside gaz	cmh	gaz	p.66		0	0	1549	1597			0	0		English	
481	cheapside gaz	cmh	gaz	p.66		0	1605					0	0		English	
482	cheapside gaz	cmh	gaz	p.66		0	0	1605	1610			0	0		English	
483	cheapside gaz	cmh	gaz	p.66		0	0	1610	1613			0	0		English	
484	cheapside gaz	cmh	gaz	p.66		0	1610			1610/11		0	0		English	
485	cheapside gaz	cmh	gaz	p.66		0	1611					0	0		English	
486	cheapside gaz	cmh	gaz	p.66		0	1622			c.1622		0	0		English	
487	cheapside gaz	cmh	gaz	p.66		0	0	1622	1625			0	0		English	
488	cheapside gaz	cmh	gaz	p.66		0	1625			c.1625		0	0		English	
489	cheapside gaz	cmh	gaz	p.66		0	1626					0	0		English	
490	cheapside gaz	cmh	gaz	p.67		0	1626					0	0		English	
491	cheapside gaz	cmh	gaz	p.67		0	1627					0	0		English	
492	cheapside gaz	cmh	gaz	p.67		0	0	1627	1629			0	0		English	
493	cheapside gaz	cmh	gaz	p.67		0	0	1629	1657			0	0		English	
494	cheapside gaz	cmh	gaz	p.67		0	1630					0	0		English	
495	cheapside gaz	cmh	gaz	p.67		0	1627			1626/7		0	0		English	
496	cheapside gaz	cmh	gaz	p.67		0	1632			1631/2		0	0		English	
497	cheapside gaz	cmh	gaz	p.67		0	1641			1640/1		0	0		English	
498	cheapside gaz	cmh	gaz	p.67		0	1643			1642/3		0	0		English	
499	cheapside gaz	cmh	gaz	p.67		0	1651			1650/1		0	0		English	
500	cheapside gaz	cmh	gaz	p.67		0	1657					0	0		English	
501	cheapside gaz	cmh	gaz	p.67		0	1638					0	0		English	
502	cheapside gaz	cmh	gaz	p.67		0	1652					0	0		English	
503	cheapside gaz	cmh	gaz	p.68		0	0	1652	1657			0	0		English	
504	cheapside gaz	cmh	gaz	p.68		0		1655	1658			0	0		English	
505	cheapside gaz	cmh	gaz	p.68		0	0	1657	1664			0	0		English	
506	cheapside gaz	cmh	gaz	p.68		0	1664	1666				0	0		English	
507	cheapside gaz	cmh	gaz	p.68		0	1663			1662/3		0	0		English	
508	cheapside gaz	cmh	gaz	p.68		0	1666					0	0		English	
509	cheapside gaz	cmh	gaz	p.68		0	1669			post Fire		0	0		English	
510	cheapside gaz	cmh	gaz	p.69		0	1518					0	0		English	
511	cheapside gaz	cmh	gaz	p.69		0	1524					0	0		English	
512	cheapside gaz	cmh	gaz	p.69		0	1530					0	0		English	
513	cheapside gaz	cmh	gaz	p.69		0	0	1527	1540			0	0		English	
514	cheapside gaz	cmh	gaz	p.69		0	1548					0	0		English	
515	cheapside gaz	cmh	gaz	p.69		0	1550	1562				0	0		English	
516	cheapside gaz	cmh	gaz	p.70		0	0	1530	1560			0	0		English	
517	cheapside gaz	cmh	gaz	p.70		0	1553					0	0		English	
518	cheapside gaz	cmh	gaz	p.70		0	1565					0	0		English	
519	cheapside gaz	cmh	gaz	p.70		0	1562	1583				0	0		English	
520	cheapside gaz	cmh	gaz	p.70		0	0	1565	1566			0	0		English	
521	cheapside gaz	cmh	gaz	p.70		0	0	1566	1567			0	0		English	
522	cheapside gaz	cmh	gaz	p.70		0	0	1567	1568			0	0		English	
523	cheapside gaz	cmh	gaz	p.70		0	0	1568	1571			0	0		English	
524	cheapside gaz	cmh	gaz	p.70		0	0	1571	1578			0	0		English	
525	cheapside gaz	cmh	gaz	p.70		0	0	1540	1572			0	0		English	
526	cheapside gaz	cmh	gaz	p.70		0	1577					0	0		English	
527	cheapside gaz	cmh	gaz	p.70		0	0	1577	1578			0	0		English	
528	cheapside gaz	cmh	gaz	p.70		0	1578					0	0		English	
529	cheapside gaz	cmh	gaz	p.70		0	0	1579	1596			0	0		English	
530	cheapside gaz	cmh	gaz	p.70		0	1596					0	0		English	
531	cheapside gaz	cmh	gaz	p.70		0	0	1596	1600			0	0		English	
532	cheapside gaz	cmh	gaz	p.70		0	0	1600	1606			0	0		English	
533	cheapside gaz	cmh	gaz	p.70		0	1601					0	0		English	
534	cheapside gaz	cmh	gaz	p.70		0	0	1606	1607			0	0		English	
535	cheapside gaz	cmh	gaz	p.70		0	0	1607	1609			0	0		English	
536	cheapside gaz	cmh	gaz	p.70		0	0	1609	1625			0	0		English	
537	inhabitants list	cmh	Inhabitants of London 1640, Cheap Cwainer Portsokn	Harvey		0	1640					0	0		English	List of Principal Inhabitants of the City of London 1640, ed. W.J. Harvey pp.11-13, 16 @@@@ list of inhabitants as were conceived able to lend the King money upon security towards raising £200,000 according to order of the Privy Council, 10 May 1640 @@@@  Cheap, Cordwainer and Portsoken wards - nb the whole of Cordwariner, not just SMLB@@@@ "A report from Gilbert Harryson Aldr for the Warde of Cheape of the most able p~son of worth in esteme of the said Ward Maye 13 1640" @@@@ "The names of the most able men inhabiting in the ward of Cordwayner street London whereof Edmund Wright is alderman" @@@@ "Thomas Adams Aldrman of the small ward of Portsoken doth humblie certifie that the said ward conteineth onelie the lesser half of the parish of St Buttolphes whout Algate and doth consist for the most part of inferiour trades and verie few of abilitie and suffitiencie. The most able (as is conceived) are heerunder mentioned but how able to lend is uncertaine"
538	inhabitants list	gl	SMC Church Wardens from the year 1700 to 1760	GLMS 67, ff.253v-254v		0	0	1700	1768			0	0		English	
539	inhabitants list	gl	SMC scavenger rate 1710/11	GLMS 67, f.37v		0	0	1710	1711	25th Decembr 1710 to ye 25th of December 1711.		0	0		English	A Rate made for ye Scavenger of St Mary Cole Church London fm ye 25th Decembr 1710 to ye 25th of December 1711.  Miles Whittworth Scavenger
540	inhabitants list	gl	SMC poor rate 1709/10	GLMS 67, f.26		0	0	1709	1710	Lady Day 1709 to Lady day 1710		0	0		English	A Rate made for the Poor of the Parish of St Mary Colechurch London from Lady Day 1709 to Lady day 1710 with an addition of half a years Rate included, in consideration of the great increase of the Poor.  Charles Eeles Church Warden. @@@@ "£23 16s 8d - brought over £36 16s 8d - totall £60 13s 4d"
541	inhabitants list	gl	SMC rakers' wages 1618	GLMS 66, f.27v	28	2	1618					0	0		English	The aceasment of the parishioners of St Mary Colechurch for the Rakers wages, for the yeare, agreed upon, the twentieth day of February 1618, every man to bee rated by his howse as hearebefore it hath bine, & now, as heareunder written
542	inhabitants list	gl	SMC relief for maimed soldiers 1622	GLMS 66, f.35v	3	5	1622					0	0		English	The Aceassesment of the parishioners of Snt Mary Colechurch for the whole year for the releife of maymed souldiers agreed upon the 3 day of May 1622 by the ceassers chosen for the same as appearing heare under written @@@@ total £1 14s 10d
543	inhabitants list	gl	SMC clerk's wages assessment 1624	GLMS 66, f.37v	31	3	1624					0	0		English	fol. 37v: The Assesment of the parishioners of St Mary Colechurch for the Clarks waiges for the yeare agreed upon the 31 day of March 1624 that every man shall be rated by his howse as heretofore it hath beene and nowe as hereunder written @@@@ total £6 15s
544	inhabitants list	gl	SMC receipts for church repairs 1638/9	GLMS 66, f.81v		0	0	1638	1639			0	0		English	The Acompt of Edmond Harvy for his Receipts Continued Receipts for the asesment for the repaires of the church @@@@ total £81
545	inhabitants list	gl	SMC scavenger rate 1693	GLMS 66, f.252		0	0	1692	1693	Christmas 1692, to Christmas 1693		0	0		English	St Mary Cole Church London, a Rate made for the Scavenger for one yeare from Christmas 1692, to Christmas 1693, to be paid Quarterly. @@@@ total £20 7s
546	inhabitants list	gl	SMC scavenger rate 1694/5	GLMS 66, f.259v		0	0	1694	1695	Christmas 1694, to Christmas 1695.		0	0		English	St Mary Cole-Church London.  A Rate made for the Scavenger for One year from Christmas 1694, to Christmas 1695.  To be paid Quarterly.  Ralph Holbrooke Scavenger. @@@@ Total £21 18s
547	inhabitants list	gl	SMC poor rate 1693/4	GLMS 66, f.251		0	0	1693	1694	From Lady day 1693 to Lady-day 1694.		0	0		English	A Rate Made for the Poor of the Parish of St Mary Cole-Church London From Lady day 1693 to Lady-day 1694.  Francis Ratcliffe Church-warden @@@@ total £21 18s @@@@
548	inhabitants list	gl	SMC scavenger rate 1682/3	GLMS 66, f.217		0	0	1682	1683	Christmas 1682 to Christmas 1683		0	0		English	A Rate or Assesmmt made for the Scavenger of the parrish of St Mary Colechurch to bee Gathered of the Inhabitants thereof from Christmas 1682 to Christmas 1683 As followeth Viz. @@@@ total £20 1s 8d @@@@
549	inhabitants list	gl	SMC rakers wages 1673	GLMS 66, f.195		0	1673			ye year of or Lord God 1673 endinge att xmas		0	0		English	fol. 195: An Acesment for ye Rakers wages to be gathered of ye Inhabitants of St Mary Cole-Church London for ye year of or Lord God 1673 endinge att xmas to be pd qrlie @@@@ all values "by ye qr" @@@@ Amounts to Quarterlie £3 17s 4d @@@@ Anually £15 9s 4d @@@@
550	inhabitants list	gl	SMC poor rate 1625	GLMS 66, f.45	25	5	1625			this 25 May 1625		0	0		English	fol. 45: The Asseasment of ye parish of St Mary Colechurch for or owne poore and ye poore of Christs hospitall for one whole yeare: Agreed upon this 25 May 1625 @@@@ total £26 13s @@@@
551	inhabitants list	gl	SMC poor rate 1624	GLMS 66, f.42	6	4	1624			 for the yeare agreed upon the 6th of Aprill 1624		0	0		English	The A Ceassement of the pishiners of St Mary Cole Church for the poore of Christe hospitalle and of our oune pishe for the yeare agreed upon the 6th of Aprill 1624 @@@@ total £26 13s 8d @@@@
552	inhabitants list	gl	SMC poor rate 1626	GLMS 66, f.47	22	5	1626			22 May anno 1626		0	0		English	The Asseasment of the parrish of St Marye Colechurch for our owne poore, and the poore of Christs Hospitall, for one whole yeare: Agreed upon this 22 May anno 1626 @@@@ £26 15s @@@@
553	inhabitants list	gl	SMC poor rate 1628	GLMS 66, f.52		0	1628					0	0		English	The Asseasement of the Parrish of St Mary Colechurch ffor or owne poore & the poore of Christs Hospitall for one whole yeare Agreed uppon anno 1628 @@@@ total £24 16s 4d @@@@
554	inhabitants list	gl	SMC rakers wages 1629	GLMS 66, f.55v	12	1	1629			the 12th January 1629		0	0		English	The Aessement of the Prishoners of St Mary Colechurch for the Rakers wages for a hole yeare agreed upon by a vestry the 12th January 1629 that every man should be Rated by his house & was aessed the 18 of the same month by us whose names are heare under written @@@@ total £10 6s @@@@
555	inhabitants list	gl	SMC poor rate 1630	GLMS 66, f.58	16	4	1630			the 16th of April 1630		0	0		English	The Asseasmentt of the Parish of St Mary Colechurch for owr owne poore and the poore of Christs Hospitall for one whole yeare Agreed uppon the 16th of April 1630 @@@@ total £24 13s 8d @@@@
556	inhabitants list	gl	SMC poor rate 1631	GLMS 66, f.59v	4	5	1631			the 4th of May 1631		0	0		English	The Asseasmt off the Parrish off St Marye Cole Church for or owne poore and the poore of Christs Hospitall for one whole yeare as they weere agreed uppon the 4th of May 1631 @@@@ total £24 1s @@@@
557	inhabitants list	gl	SMC poor rate 1632	GLMS 66, f.61	16	4	1632			the 16th of Aprill 1632		0	0		English	The Asseasment of the Parrish of St Mary Cole Church for our poore & the poore of Christs hospitall for one whole yeare as they wear agreed uppon the 16th of Aprill 1632 @@@@ total £23 16s 8d @@@@
558	inhabitants list	gl	SMC poor rate 1633	GLMS 66, f.65	21	4	1633					0	0		English	The Asseasment of the Parrish of St Marrie Coale Church for our poore and the poore of Christs hospetall for one whole yeare as they wear agreed uppon the 21 of Aprill 1633 @@@@
559	inhabitants list	gl	SMC poor rate 1634	GLMS 66, f.67v	6	4	1634			from Easter day being the 6th of Aprill 1634		0	0		English	The Asseasment of the Parish of St Mary Colechurch in London for our poore for one whole yeare as they? weare agreed uppon from Easter day being the 6th of Aprill 1634 @@@@ total £24 9s 8d
560	inhabitants list	gl	SMC poor rate 1635/6	GLMS 66, f.71		0	0	1635	1636	Easter 1635 to Easter 1636		0	0		English	The assesemt of the Inhabitants of the parish of St Mary Colechurch in London towards the releife of the poore from Easter 1635 to Easter 1636
561	inhabitants list	gl	SMC poor rate 1636/7	GLMS 66, f.72	13	5	1636	1636	1637	Easter 1636 to Easter 1637 May ye 13th 1636		0	0		English	The assesmt of the Inhabitants of the parish of St Mary Colechurch in London towards the releefe of the poore from Easter 1636 to Easter 1637 May ye 13th 1636 @@@@ i.e. drawn up in 1636? @@@@
562	inhabitants list	gl	SMC poor rate 1637/8	GLMS 66, f.75v	4	5	1637	1637	1638	Easter 1637 to Easter 1638 May the 4th 1637		0	0		English	The Asseasment of the Inhabitants of the parish of St Mary Colechurch In London towards the releefe of the pore Easter 1637 to Easter 1638 May the 4th 1637 @@@@ total £25 2s 8d @@@@
563	inhabitants list	gl	SMC assessments 1639	GLMS 66, f.89v	20	12	1639					0	0		English	The accompt of Randall Pickeringe for mony recd by 3 assessemts made the 20th Decemb 1639 @@@@ Totals for the 3 assessments £292, £132, £160 @@@@
564	inhabitants list	gl	SMC tithes 1640	GLMS 66, f.281v		8	1640					0	0		English	fol. 281v: Gathered? By Cutbert Hacket in August 1640 for the Tithes of St Mary Cole Church (incomplete) @@@@
565	inhabitants list	gl	SMC poor rate 1640	GLMS 66, f.93v	20	5	1640			20th May Anno 1640		0	0		English	The Asseasment of the Parishoners of St Mary Colechurch made the 20th May Anno 1640 by Mr Jno Towse, Captain Manwaring William Pitchford Edward Chapman, Cutbert Hacket Jno Cary as also by Edmond Sleigh  Robert Brome Church Wardens For ye Poore @@@@  total £25 11s 4d @@@@
566	inhabitants list	gl	SMC assessment 1641	GLMS 66, f.97v	20	5	1641			20th May Anno 1641		0	0		English	The Assesment of the Parishoners of St Mary Colechurch made the 20th May Anno 1641 by Mr Henry Box Captain Manwaring Mr William Pitchford Mr William Shambrook Mr Edmond Harvey Mr John Lorimer Mr Edmond Sleigh  Robert Brome John Fletcher Church Wardens @@@@ total £26 5s 4d
567	inhabitants list	gl	SMC poor rate 1642	GLMS 66, f.101	23	9	1642			ye 23rd of September Anno 1642		0	0		English	The Asseasment of the Parishoners of St Mary Coolechurch London Mayd ye 23rd of September Anno 1642 for ye Releiff of the Poore By thes Persons following Mr Henery Box Mr William Pitchford Mr William Shambrook Mr Edward Chapman Mr John Lawrance Mr Edmond Haryvey Mr Edmond Sleighe As Also John Fletcher & Cuthbird Hackitt - Church Wardens @@@@ total £27 10s 8d
568	inhabitants list	gl	SMC rakers wages 1643	GLMS 66, f.103	10	4	1643					0	0		English	An Acesment Mayde uppon the Parishoners of Mary Coolle Church London for ye Rakers Wayges aggred uppon the 10th of Aprill 1643 By us whose names are heer under wrighten 26 @@@@ total £12 8s 4d
569	inhabitants list	gl	SMC poor rate 1643	GLMS 66, f.104v	26	5	1643			26 of May 1643		0	0		English	The Assement of the Parishoners of Mary Colechurch London Maydethe 26 of May 1643 for the Releiffe of the Poore by thes persons following Mr William Pitchford Mr William Shambrook Mr Edward Chapman Mr Edmund Sleigh Mr Theophilus Biddolph Mr Robert Brome As also John Fletcher & Edmund Lewin - Church Wardens @@@@ total £28 3s 4d @@@@
570	inhabitants list	gl	SMC tithe 1644	GLMS 66, f.280v		0	1644					0	0		English	fol. 280-v: ? the Tyth of Mary Colechurch parish entered ye year 1644 @@@@ returns listed in TblTithes @@@@ assessment values are quarterly @@@@
571	inhabitants list	gl	SMC poor rate 1644	GLMS 66, f.107v	29	5	1644					0	0		English	The Aseasment of the Inhabitants of Mary Colechurch Lond Mayde this 29th May 1644 for the Releefe of ye poore @@@@ total £25 2s 8d
572	inhabitants list	gl	SMC poor rate 1645	GLMS 66, f.110		0	1645					0	0		English	The assesment of the Inhabitants of Mary Colechurch for the yeare 1645 for the Releefe of there poore @@@@ total £27 11s
573	inhabitants list	gl	SMC poor rate 1646	GLMS 66, f.113		0	1646					0	0		English	An assesment of the Inhabitants of mary Colechurch for the yeare 1646 for the releefe of there poore @@@@ total £24 3s 4d
574	inhabitants list	gl	SMC poor rate 1647	GLMS 66, f.115		0	1647					0	0		English	An assesment of the Inhabitants of Mary Coleshurch parish London for the releefe of there poore for ye yeare 1647 @@@@ total £10 12s 4d
575	inhabitants list	gl	SMC poor rate 1648	GLMS 66, f.118		0	1648					0	0		English	An Asseasment of The Inhabitants of St Mary Cole Church London for The yeare 1648 for the Reliefe of ye Poore of ye said Parish  John Reynolds Church warden @@@@ total £27 10s 4d
576	inhabitants list	gl	SMC poor rate 1649	GLMS 66, f.121	27	7	1649					0	0		English	An Assesment for the Reliefe wages Agreed on the 27 of July 1649 by the psons appoynted att A vestry Held the 4 July 1649 And whose names be underwritten.  Tho Jackson Church warden @@@@ total £13 10s 4d
577	inhabitants list	gl	SMC poor rate 1650	GLMS 66, f.129		0	0					0	0		English	An Assesment of the inhabitants of Mary ColeChurch London for the Reliefe of the Poore in the yeare 1650 @@@@ total £31 6s 2d
578	inhabitants list	gl	SMC poor rate 1666	GLMS 66, f.186		0	1666					0	0		English	An Assesment made for the Reliefe of the poore of the Parish of St Mary ColeChurch London upon the Inhabitants thereof for the yeare 1666 Thomas Bonny Churchwarden @@@@ total £34 9s
579	inhabitants list	gl	SMC rakers wages 1666	GLMS 66, f.186v		0	1666					0	0		English	An Assesment for the Rakers wages to bee gathered of the Inhabitants of St Mary Colechurch London for ye yeare of our Lord God 1666 as followeth vizt @@@@ Total £14 5s
580	inhabitants list	gl	SMC poor rate 1683-4	GLMS 66, f.216v		0	0	1683	1684	from our Lady day 1683 to our Lady day 1684		0	0		English	A Rate or Assessemt made for the Releife of the poore of the Parrish of St Mary Colechurch upon the Inhabitants thereof from our Lady day 1683 to our Lady day 1684. Thomas Rogers Churchwarden @@@@ Total £36 3s 9d
581	inhabitants list	gl	SMC poor rate 1684-5	GLMS 66, f.220v		0	0	1684	1685	from our Lady day 1684 to our Lady day 1685		0	0		English	A Rate or Assessemt made for the releife of the Poore of the Parish of St Mary Colechurch upon the Inhabitants thereof from our Lady day 1684 to our Lady day 1685. Edmund Wynch Churchwarden @@@@ total £39 4s 4d
582	inhabitants list	gl	SMC poor rate 1685-6	GLMS 66, f.221v		0	0	1685	1686	from our Lady day 1685 to our Lady day 1686		0	0		English	A Rate or Assessemt made for the Releife of the Poore of the parish of St Mary Cole church upon the Inhabitants thereof from our Lady day 1685 to our Lady day 1686. Thomas Hanwell Churchwarden @@@@ £40 1s 8d
583	inhabitants list	gl	smc scavenger rate 1686-7	GLMS 66, f.231v		0	0	1686	1687	from Christmas 1686 to Christmas 1687		0	0		English	A Rate made for the Scavenger of the parrish of St Mary Colechurch to bee gathered of the Inhabitants thereof from Christmas 1686 to Christmas 1687 As followeth Viz. @@@@ total £22 12s @@@@
584	inhabitants list	gl	smc poor rate 1687-8	GLMS 66, f.231		0	0	1687	1688	from our Lady day 1687 to our Lady day 1688		0	0		English	A Rate made for the Reliefe of the Poore of St Mary Colechurch upon the inhabitants thereof from our Lady day 1687 to our Lady day 1688.  John Wiseham Churchwarden @@@@ total £40 19s @@@@
585	national tax	clro	marriage duty assessment 1695 Tower Hill, SBA	Marriage Assess ??		0	1695					0	0		English	1695 marriage duty act assessment for SBA, Tower Hill precinct @@@@ The Names of ye Inhabitants In Towerhill precinct p. 134
586	national tax	gl	smc poor rate 1702-3	GLMS 67, f.6v		0	0	1702	1703	commencing Lady day 1702 and ending Lady Day 1703.		0	0		English	A Rate made for the Poor of the Parish of St Mary Cole church London commencing Lady day 1702 and ending Lady Day 1703. with addition of six months Rate included in Consideration of ye great Increase of Poor.  Thomas Hornbey Church Warden @@@@ scoring system by all names; each has four lines unless otherwise noted @@@@ "£28 5s 6d; brought over £39 8s 8d"; Totall £67 14s 2d"
587	national tax	gl	smc poor rate 1701-2	GLMS 67, f.3v		0	0	1701	1702	commencing Lady day 1701 and ending Lady Day 1702		0	0		English	A Rate made for the Poor of the Parish of St Mary Cole church London commencing Lady day 1701 and ending Lady Day 1702 with addition of six months Rate included in Consideration of ye great Increase of Poor.  James Lombaert Church Warden Cheapside  @@@@ scoring system by all names; most have four lines  unless otherwise noted @@@@ "£22 4s 2d; brought over £38 4s 10d"; Totall £60 9s"
588	national tax	gl	smc poor rate 1700-1	GLMS 67, f.1v		0	0	1700	1701	Lady day 1700 and ending Lady Day 1701		0	0		English	A Rate made for the Parish of St Mary Cole church London From Lady day 1700 and ending Lady Day 1701. Robert Norris Churchwarden King street @@@@ scoring system by all names; most have four lines unless otherwise noted @@@@ "£18 6s/ £24 6s 4d/ Totall £42 12s"
589	national tax	gl	smc poor rate 1699-1700	GLMS 66, f.275		0	0	1699	1700	 From Lady day 1699 to Lady Day 1700		0	0		English	A Rate made for the Parish of St Mary Cole church London From Lady day 1699 to Lady Day 1700. In this Rate is Included an Addition of half a years Rate in respect of the Increase of Poor and other charges. John Hall Cooke Churchwarden @@@@ scoring system by all names; most have four lines unless otherwise noted @@@@ "£68 1s 6d with signatures"
590	national tax	gl	smc poor rate 1698-9	GLMS 66, f.271		0	0	1698	1699	From Lady day 1698 to Lady 1699		0	0		English	A Rate made for the Poor of the Parish of St Mary Cole Church London From Lady day 1698 to Lady 1699.  Benjamin Hodgson Church-Warden @@@@
591	national tax	gl	smc poor rate 1698	GLMS 66, f.3	19	12	1698					0	0		English	[most of top of page missing] ..." twenty pounds Nineteen shillings upon the severall Inhabitants within the parish of St Mary ColeChurch London the Nineteenth day of december dm 1698. Annoqr Regni diu uri Gulielmi Tertii nunc Angl et Decimo, Pursuant to an act of Comon Council bearing date the Eight day of this Instant December Entituled An Act of Comon Council for the raising of Five thousand One hundred and one pounds eight shillings & six pence for a Stock towards employing the Poor of the City of London, & Liberties thereof" @@@@ total £20 19s
592	national tax	gl	smc poor rate 1697	GLMS 66, f.267v		0	0	1697	1698	From Michaelmas 1697 to Lady Day 1698		0	0		English	An Additional Rate made for the poor of the Parish of St Mary Cole Church London From Michaelmas 1697 to Lady Day 1698 in respect of the Great Charge of the Poor.  John Wallden Church Warden
593	national tax	gl	smc poor rate 1696-7	GLMS 66, f.263		0	0	1696	1697	Lady Day 1696 to Lady Day 1697		0	0		English	A Rate made for the Poor of the Parish of St Mary Cole Church London From Lady Day 1696 to Lady Day 1697. With addition of one Quarters rate included in consideration of the great increase of Poor.  Jeremiah Garrard Church Warden @@@@ total £52 1s 1d @@@@
594	national tax	gl	smc poor rate 1695-6	GLMS 66, f.259		0	0	1695	1696			0	0		English	A Rate made for the Poor of the Parish of St Mary Cole-Church London from Lady-day 1695, to Lady-day 1696. With an Addition of Half a years Rate Included in consideration of the great increase of Poor.  Jeremiah Garrard Church Warden @@@@ total £63 5s 4d @@@@
595	national tax	pro	Divided and Inmated houses, Cheap Ward, 1637	SP 16/359	19	4	1637					0	0		English	Returns made to the Council, or the Lord Mayor, of what houses occupied by poor persons had been built within the parish or liberty to which each return relates, within the last seven years; what houses had been divided into several tenements before or since that period; and by whom the same were occupied. @@@@ NB: A transcript of this source, with a number of errors, can be found in the Guildhall Library: T. C. Dale (ed), Returns of Divided Houses in the City of London (c. 1937)
