RECORD	DAT	LRO	CTY	PLA	OSN	PAR	CAT	TYP	EAD	EAT	CMR	VAL	SUM	OSA	COV	AWC	TMD	SCL	SUR	SNM	CLS	CMD	MSS	BAF	MAT	DIM	STT	QUL	TRI	OFF	CHN	COL	RLY	RDS	TPK	ILU	SLU	RLU	QUA	SAN	UTL	MIL	CHH	PUB	PBG	SCH	PRG	RIV	CAN	LAK	HSE	FMY	WDS	PLS	COP	PKS	ARB	GRA	ORC	HPS	GNS	ORN	REC	HTS	CMN	RCK	HAC	SHD	FLD	STP	GLB	HDG	FNC	GAT	ABB	EBB	FBB	OBB	EST	ALL	NMS	NMR	FDN	FAO	FAN	CAR	BOR	NOP	SYM	COM	EXC
PRO 17016	18.07.1995	ERRO IA (G1)	YOE	Out Newton	Out Newton		T	E		TA382218	81 E		759	676.05	Y	Award at RBD Y/99/24.  Same hand as 17012, etc.  `Mem. - Old Inclosure was not surveyed particularly.'  Enclosure by agreement: not in Tate & Turner.  (SUM has been compensated for erosion by adding 73 acres to OSA.)	01.01.1756	9*	P. Nevill and Ch. Tate		A		M	A	P	37 X 47	X	G				G																																															Y	Y			L		Y		Y	1		Little hands point to things.  Total new enclosure 553:3:9, but noted as 553:2:16 `In some part of Chas Tate's Books'.	
PRO 16133	24.01.1995	Q/RDc 35	STF	Tyrley	Bloreheath	Drayton in Hales	M	E		SJ716359	123 SW, 139 NW		759.431	6588.80	X	SUR not named in award.  759:1:29: Tyrley Heath and Blore Heath.	02.02.1774	6					M	A	C	82 X 58, 60 X 41	CE	G				RW		Y																Y																													L	R					R			2		Note that divisions with crossbars are lots to lease tenants.	
PRO 12833	13.08.1993	PRO MAF 1/16O	MON	Magor le Green Moor	Green Moor	Redwick, Willcrick, Magor, Undy, Bishton, Llandaenny in St Brides and Green Moor	-	E	The county enrolled copy is at Gwent RO, Q/Inc. Aw. 11, 12, 13; PRO has another copy, MR 623.	ST399861	250 SW	James Peachey Williams, St Werburgh, Bristol, Land Surveyor	760	8800.24	X	Llanadenny is a hamlet in St Bridges; Green Moor is EP.  [OSA: Redwick, 2502.073; Willcrick, 437.482; Magor, 1902.073; Undy, 1762.783; St Brides, 804.262; Bishton, 1391.572.]	01.01.1854	2	James Peachey Williams, Bristol		1	12.06.1856	M	A	P	347 X 138, 241 X 138	PE	G				RW	N															N			Y														N						P				Y		A		L		Y							7		Chapel, boundary trees (pictorial, species), Posts in pill.  Scale bar is framed; one exchange is at 6 and another at 8 chains.  Usual JPW style herabouts.	
PRO 13707	19.11.1993	PRO MAF 1/538	MTG	Churchstoke and Hurdley	Church Stoke	Churchstoke	Ts	E	The county enrolled copy is in Powis RO, MQS/RA/11, where there is also another copy, MPC/16/INC/1-2.	SO290960	165 NE	Charles Mickleburgh, Montgomery, Montgomeryshire, Land Surveyor	761	8975.42	X	Todley Hill, The Roundtain Bank, Old Churchstoke Hill, Cowton Llanfawr and The Marsh.   [OSA is for Churchstoke; Hurdley is not a separate district on 6-inch 1st edn.]	01.01.1852	3	Mickleburgh and Son, Landsurveyors, Montgomery		1	02.06.1853	M	A	P	232 X 90	PE	OK+				RWDEP - grey shade to title.		Y														N																	N									S	T		T		L		Y						Y	4		Wells, Springs.	
PRO 14554	20.05.1994	Hants RO Q23/2/79	HMP	West Aston or West Yaston and Mickleton	Longparish	Longparish	Hs or Ys	E	Hampshire RO has another copy of the map, at 244M87/1.	SU447441	283 SE		761	5317.17	X	[OSA is for Longparish parish.]	02.02.1804	9	George Barnes				M	A	C	34 X 89	CE	G											S														Y																								H		LR	Y				R	Y		Y	2		Old enclosures shown are exchanges.	
PRO 13613	15.11.1993	PRO MAF 1/447	YOW	Sutton	Sutton	Campsall and Burghwallis	T	E	The county enrolled copy is at WRRO, WYAS CP Wakefield A22 (qe 1/56); the parish copy is at Doncaster RO, PR/NOR.	SE545125	78-9, 87-8	William Paver, Peckfield, Sherburn, West Riding of Yorkshire, Land Surveyor	762.962	762.96	Y	Award says that VAL replaces Christopher Paver, who died.  Award gives no mother parish; map says Campsall and Burghwallis, but shows no parish boundary.	02.02.1858	3	William Paver, Peckfield, near Milford Junction		1	11.09.1858	M	C	P	162 X 101	PE	G+				AE		Y																			YN - could be plantations.																	Y				PR			T		YL	Y		P	O		Y		Y	2		FAN struck through.	
PRO 16914	22.06.1995	Derbs RO Q/RI 106	DRB	Wirksworth	Wirksworth		M and T	E		SK290540	112 SW, 125 NW		764	3026.52	X	Award at Q/RI 3/207.  SUR from oath: also acted as a commissioner.	03.03.1806	6	John Nuttall, Matlock, Derbyshire				M	A	C	124 X 99	CE	G				PX - land retained and given up by etwall and repton corporation, as explained in note; border shaded grey.																																													T		L			N				`Plan referred to' on vertical ruled ground in 8-sided cased dashing.	Ball-and-half-quatrefoil.	1		Enclaves of old enclosure have grass-ground effect.  Extends to outer boundary (not plotted on NS-1 or counted here).	
PRO 16467	03.03.1995	Borthwick PR/S/R/10	YOE	Seaton Ross	Seaton Ross	Seaton Ross	T	E	ERRO has the deeds-registered plan, RDB (C22) (award CQ/358/20).	SE780420	71 E		766	3426.03	X		01.01.1814	8	John Foster				M	A	C	48 X 68	L	G				WG							B									D		Y															N												I			Y		Y			Y		Y	1			
PRO 17131	26.07.1995	ERRO IA - Rowlston	YOE	Rowlston	Rolston	Mappleton	T	E		TA210450	73 NW		767.281	767.28	Y	SUR was also sole commissioner.  28.8 chains from E side of T-junction to cliff.  (SUM has not been compensated for coast erosion.)	01.01.1859	6	Robert Wise, Land Agent, Auburn Hill, Malton				M	A	C	87 X 75	O	G+				SLOPX - stopped-up paths and letters at path ends in red; border light sienna; adjoining district names golden sienna or grey; parish in title sienna-brown, whole title shaded grey-blue; scale diced a lighter shade of sienna.  (roads a very light yellow shade of sienna: whole map seems to be an exercise in diluting or strengthening inks.)		Y		FLPW												D		Y			YU								P																T		Y	Y				Y	Y		Broad cased light sienna band.	1		Foot Path to be stopped, Old Drain Diverted, some fence and drain lengths (in chains), also length in chains of ownership of west-east road [the muddy one].	
PRO 17163	07.08.1995	Notts AO EA 82/1	NTT	Syerston	Syerston		T	E	Notts AO: EA 82/2.	SK748472	126 NE		769.673	769.67	Y		01.01.1792	7.5	W. Attenburrow				M	A	C	96 X 31	CE	G				W - grey.		Y									PT - hollow, whereas other buildings solid black, so not at all conspicuous.					AN		Y																						B		S			HI - h old, i new.		Y	Y		Y	O		Y	XDQX - Hyacinth oval: stylised lozenge-petals top and bottom.	Y	2			
PRO 14181	04.03.1994	Essex RO D/SD 126	ESX	St Lawrence, Mayland and Steeple otherwise Steeple with Stansgate	St Lawrence, Mayland, Steeple		Ps	D		TL945057	241 SE		770	6912.84	X	As for 14177-80, 14182-4.  Book of reference is at D/SD 119.  [OSA, 6912.846: St Lawrence, 2022.820; Mayland, 2067.257; Steeple with Stansgate, 2822.769.]	01.01.1836	4	Messrs R. & J. Bevan, 19, Buckingham St, Strand	F			M	X	P	123 X 278	X	VG				SLOPX - contours; blue and golden brown in title, river named in blue, adjoining parishes golden brown; differential colouring of main watercourses and ditches.																DN		Y	I	Y	YTU								BT					C															Y						Y	1		Outfall cleaned 50 rods, sea wall, lines of Extraordinary Rise of Tide, and High Water Mark.  Scales of chains and feet (not diced); legend explains symbols.	
PRO 12572	21.07.1993	PRO MPN 18	SUR	Penge	Penge		H	E	Surrey RO copy is at 13830.	TQ348701	270 E		770.018	770.01	Y	[OSA is for Battersea (det).]	03.03.1837	4					M	A	C	106 X 68	PR	OK-				RWNX - outer boundary, vicarial allotment, sale lots.		Y		R													YNT																						G - coloured.						T		L	Y	F	Y			Y			1		boundary Posts (pictorial).  Buildings are shown without infill.	
PRO 13830	13.12.1993	Sur R.O. Q.S. 6/5/39	SUR	Penge	Penge	Battersea	H	E	PRO copy is at 12572.	TQ348701	270 E		770.018		Y	SUR was sole commissioner.  [OSA is for Battersea (det).].	02.02.1837	4	? Richard Peyton, Cooks Court, Carey St, Middlesex, Surveyor				M	A	P	72 X 93	CE	G-				RWDOPX - scale diced grey.				R													YNT	Y																											T			Y	Y	Y			Y		Y	1		boundary Posts (pict).  Ponds and buildings without infill.	X
PRO 17508	23.09.1995	LAO Bourne Par. 17/2	LIN	Bourn	Bourne South Fen		P	E	Photocopy at LAO Kesteven Award 13: incomplete.	TF126192	143 SE, 144 SW		770.475	10103.57	X	Cow Pasture in South Fen, 770:1:36.   [Original details from KA 13: revised 9:10:95.]	02.02.1777	4	Edward Hare				M	A	C	169 X 44	O	G													T							N																													T		L	Y		Y			Y			1		Tunnels.	
PRO 15998	09.12.1994	Wilts RO EA 143	WLT	Great Chelworth and Little Chelworth	Chelworth Lower Green, Chelworth Upper Green	Cricklade Saint Sampson and Cricklade Saint Mary	Ms	E		SU086936	252 N		771	8380.30	X	SUR from oath.  [OSA: Cricklade St Samson, 6289.005; Cricklade St Mary, 121.855.]	02.02.1824	4.5*	Richard Hall				M	A	C	95 X 76, 101 X 87	CE	G				RWO		Y		PR													YN																															Y							Y	13			
PRO 17280	15.08.1995	Leics RO EN/MA/118/1	LEI	Glenfield	Glenfield		-	E	Leics RO: EN/MA/118/2.	SK538061	155 E, 156 W		771.533	771.53	Y	Award elsewhere (none at Leics RO). No cadaster for old enclosures, which are shown by a grass-ground effect.	01.01.1809	5					M	A	C	85 X 72	X	G				B			N											T - `glenfield' only.																												R			T		L	Y		Y					Y	1		A very small hand points to one road destination.  `Glenfield' in tile in gothic.	
PRO 12350	06.07.1993	PRO MPN 7	HMP	East Woodhay	East Woodhay [Broad Laying and Woolton Hill]		P	E		SU434622	267 SE, 283 NE		772	5079.89	X	Award is at PRO KB 122/1033 [rot 331].	01.01.1818	6					M	A	C	71 X 101	PR	G+				RA		Y	N				G							F				Y															N												H		L	Y		Y					Y	8		Commons are named in gothic.  What appears to be a racecourse is shown by pecked lines, but is unnamed.  North pointer has shelly tip.	
PRO 12682	04.08.1993	PRO MAF 1/20	HMP	Titchfield	Titchfield		P	E	The county enrolled copy is at Hampshire Record Office, Q23/2/126.	SU513072	315 SE, 316 SW	Richard Wooldridge, Titchfield, Hampshire, Land Surveyor	773	15782.68	E	This covers the same perimeter as 12676, q.v., so mapped area is about 1200 acres.  Award is at PRO MAF 1/908.  [OSA is for Titchfield parish.]	01.01.1860	3	John Waters, Salisbury for Jas W. Blackman, Fareham		1	15.11.1866	M	A	P	195 X 232	PE	G				WAE			N		X													Y			YN																						M		A				Y	Y					Y	4	Pole, belt: below map date.	Public Springs, Public Watercourses, Factory, Pest House.  There is an index at unstated scale to the two detached bits.   Below the map date is a short pole (?) with a belt (?) twined round it.	
PRO 15918	30.11.1994	Warwick RO QS 75/83	WAR	Nuneaton and Stockingford	Nuneaton, Stockingford	Nuneaton	M or Ms	E		SP334918	169 NW		773	6541.19	X	Map says Surveyed by John Eagle in title, and he is named in the award, which was executed in 1806, but bottom centre on both sheets, struck through, is John Morgan, Moor Park, Del. 1817.   Award was only enrolled in 1817.  One part is at 4 chains.  [OSA is for Nuneaton; OS 6-inch 1st edition does not treat as a separate division.]	01.01.1817	9	J. Eagle and John Morgan				M	A	C	73 X 41 (x 2)	CE	G				RG		Y					X - materials.											Y			Y			N																B					H		L	Y		Y	L		Y		Y	10			
PRO 14594	25.05.1994	Berks RO Q/RDc 19B	BRK	Lyford	Lyford		H	E		SU399945	253 NE		774.977	774.97	Y		01.01.1801	8	W. Church, Wantage, Berks	C - exchanges only.			M	A	C	49 X 44	CE	G				RGK							Q									N		Y																											H		Y	Y		Y		Y	Y		Y	1		Note explains exchange colours.  As on other Church maps, EST is mostly by abbreviation.	
PRO 12064	28.05.1993	SOM RO Q/RDe 74	SOM	Rodney Stoke	Rodney Stoke [Stoke Moor]		P	E		ST465495	280 SW		775	2725.89	X	Stoke Moor and Draycott Moor	23.09.1793	4	William Brown, Wedmore				M	A	C	100 X 65	CE					X - yellow and green are used, latter possibly for turbary; yellow does not look like arable.		N														ADN										S							N							B					HA					Y				Title is surrounded by large decorative cartouche, trimmed with stylised flowers and leaves.	Y	1	Flowers and leaves: see CAR.	drainage Tunnels.	
PRO 12805	12.08.1993	PRO MAF 1/127	SSX	Washington	Washington		P	E	The county enrolled copy is in West Sussex RO, QDD/6/W16.	TQ124133	318 W	Levi Bushby, Goring, Sussex, Land Surveyor	775	3184.55	E	This is Map B of the Washington enclosure, Map A being 12806; this covers a larger area, but does not mention Ashington.  It shows the bits in respect of which the allotments are made.	01.01.1849	3	William Figg, Lewes				M	B	P	132 X 187	PE	G+				SN			T							T								Y	Y		Y												Y																Y							1			
PRO 14481	16.05.1994	Hunts RO PM 1/18	HNT	Little Catworth	Little Catworth		-	E	Hunts RO has a draft map (including Great Catworth), TLR 403.	TL104727	186 NE		775	3093.89	E	Photocopy, reduced 1:2.7, of original in possession of Messrs Wade-Gery & Brackenbury, St Neots, Hunts, made Oct 1939 by Cambridge University Library.  OS acreage (3093.893) is for whole parish of Catworth; cf 14485.	02.02.1781	2.5					M	A	C	135 X 99	X	G				RG - others may be present.		Y								P								Y																						B					T		Y	Y					Y			1		Original suggests a copy rather than an original; cf perfuntory title.  Roads have centre-line type colour.	
PRO 14525	18.05.1994	Hunts RO CCS 36	HNT	Bury	Bury		P	E	Hunts RO has another copy, SM 5/226, and a photocopy, PM 1/13,14.  CCS 36 also contains a map of stopped-up footpaths, 1845: see 14541.	TL282838	172 SE		775	1446.22	E		01.01.1844	6	Chas M. Bidwell, Ely	C			M	A	C	57 X 73	CE	G				SEGKPX - grey shading in title; old enclosures exchanged pink, new ditto yellow; ownership bands beige;  note explains colours.			N - + note of termination.						T - new enclosures only.		D - + name.							Y	Y		Y																								T	Y	Y	Y		Y	O		Y		Y	3		Pound.	
PRO 14892	28.06.1994	Berks RO W/RDc 59B	BRK	Draycott Moor or Southmoor	Southmoor		H	E		SU399981	236 SE, 253 NE		775	1053.86	E	Commissioner was John Fretwell.  [OS 6-inch first edition CAT is T, whence OSA.]	01.01.1844	6					M	A	C	50 X 119	CE	G						Y	N						T - new enclosures only.																																				T			Y		Y					Y	1		Buildings are in outline only, without infill.	
PRO 14927	04.07.1994	Gloucs RO Q/RI 10	GLO	Pamington	Pamington	Ashchurch	H	E	Gloucestershire Record Office also has a photocopy, P.19 SD 1/1.	SO942327	216 NE, 217 NW		775	4273.84	Y	SUR is from award. [OSA is for Ashchurch parish.]	01.01.1808	6	Samuel Joseph Davis, Gloucester				M	A	C	82 x 71	CE	G				RGJ									T - partial.									Y																						B					H		R	Y		Y		R	R	Circle round title.	Y	3		`M.S.3.'.	
PRO 15273	11.08.1994	Shropshire RO QE/1/2/37	SHR	Much Wenlock	Much Wenlock, Barrow		P	E		SJ624001	152 SE		775	8761.07	X	Act was for Westwood Common in Much Wenlock; award also includes exchanges in Barrow and Acton Round, both at 8 chains.  Maps and reference are fitted into each other, in an unusual way.  Two copies of award, one better done.  Can't find SUR.	02.02.1814	6					M	A	C	45 X 63, 81 X 76 (x 2) (map areas only).	CE	G				REKX - unclear why certain areas are coloured on the 6-chain part.		Y									PT - at barrow; very symbolic: cross surmounts tower.																																		T		L								Y	19		`this foot path is stopped up'.  Incudes path to well.	
PRO 15525	13.09.1994	Powis RO MQS/RA/40	MTG	Llanllwchaiarn	Llanllwchaiarn		P	E	National Library of Wales has a microfilm copy of the county enrolled version, and an original copy, Powis Castle M99.	SO112938	164 NE, 165 NW		775	4531.89	E	Includes roads and buildings outside enclosed areas.  Drawn direct onto award.  [This is one of the `Aberhafesp' group, most of which state that the commissioners caused maps to be made, but none of which, that I can find, names a SUR.  Chapman gives successively Richard George, Montgomery; John Humphreys, Tyn-y-Coed; and John Evans and William Pugh.  All are in the same style and might be by the same hand.]	02.02.1806	6*					M	A	C	41 X 67, 32 X 77, 58 X 78, 79 X 86	CE	G-				RWADENP - only new enclosed roads coloured; water, church  and north pointer tips grey.										XN	PT					AN																										S	T		T		L		Y							4		Old Pool, Elms, Holly, Stones, Post: along boundary.	
PRO 15782	02.11.1994	Cumb RO (map chest)	CMB	Carlisle	Carlisle		-	S		NY400560	17 SE, 18 SW		775		E	20 X 1:528 plus 12-inch uncoloured skeleton index, 36 x 24 inches inside neat lines.  Numbered I-XX.  `Surveyed by Richard Asquith, Carlisle - 1853' and `The altitudes are given in feet and those indicated thus (B.M. 43.25) refer to Marks made on Buildings, Walls, &c.  Datum 10 feet below the River Pier at the Canal Pumping Engine, being the lowest Summer Water at that Place.', bottom centre; `Day & Son Lithrs to the Queen' bottom right.  Two scales, feet (to left) and chains (to right).   Buildings carmine, grey and grey with black flecks.  Lettering and general styling in close imitation of OS.  [OSA is for parish of St Mary.]	01.01.1853	0.408333333	Richard Asquith, Carlisle				L	X	P	96 X 66	L	G+				SX - walls and rails infilled grey; public buildings (including banks and hotels) carmine, other inhabited buildings pink.	ENRS - + engine shed (dashes plus grey infill), turntables (unnamed), coal and lime depot + signals (not many), booking office (with buttresses).  no details of rails under roofs.		N		Y					IX		HIPN - hotels treated as public buildings, and coloured full carmine; hotels and inns roman, pubs italic.				AN		Y						Y					B						F - banks, etc.								PX - `ancient city'.							Y					ILU	21		Corn Mill, Dye Works, Woollen Mill, bench marks (.01 ft), basement heights (.1 ft), Sluices, Surface of Water heights, spot heights (.1 ft), Castle (Well, Armory, Ramparts, Canteen, Hospital), archways ( X ), Tan Pits (numerous), Workhouse, various named Schools, Baptists' Chapel, Presbyterian Chapel, Slaughter House, privvies (o), DB, CH, St, Timber Yards (numerous), Quakers' Sepulchre [now called a `burying ground'; closed 1855], Messrs Dixon's Works (divisions; Boilers; Sheds), Bowling Green, Scotch Church, next to Catholic Church, Priests' House [!!], Ancient City Boundary (City Stones), Sheds, Race Course, steps to buildings, W. Tap, Pump, walls (infilled grey), CoH, Carrs Mill (Bread & Biscuit) (Bath, Mill Yard), Botm. of Beck, Stone Yard, Barn, church buttresses, Bonded Warehouses, Old Brewery, New Brewery, Cathedral, Deanery, Friary, Police Office, Ragged School, Town Hall, Fish Market, named Banks, Mechanics' Institute, News Room, Athenaeum, Methodist Tabernacle, Post Office, F.P., RS [rain spouts], Butcher Market, Foundry, Messrs Dixon's Cotton Mill (Power Loom Shed; the chimney not named as such), various other named mills, Primitive Methodist Chapel, W.Post, Hot House (wide `horizontals' effect), Sun Dial, Brick Works (Steam), Engine Pond, Long Island Iron Works, House of Recovery, Infirmary, streets with fenced ?building plots, Saw Mill, Reading Room, Court Houses, Lonsdale Moument, [that in market place is unnamed], Gaol (in plan, nothing labelled), Gas Works (Retort House; gasholders plain circles, no name or infill), Breweries.	
PRO 15847	16.11.1994	St Helens Archives, S/TS/11/7/1-6	LNC	St Helens	St Helens		-	S	Further incomplete photocopies at S/TS/11/8/1-5 and S/TS/11/9/1-4.	SJ511953	84 SW		775	10434.48	E	Negative photocopy: original may possibly still be with borough engineer, but staff only know of the map in its present form.  Subsquent revision has been added, to a less finished a standard of execution.  `Plan of the Town of St Helens in the County Palatine of Lancaster compiled from the Ordnance and a Survey made up to Jany. 1854 by John Mercer, Surveyor.'  Heavy multi-rule border, ornate multi-lettered title, and decorative direction pointers and boss; larger names are sans-serif, smaller ones are closer to OS practice.   (OSA is from townships of: Eccleston, 3568:3:19; Windle, 3149:3:29; Sutton, 3725:2:30.)	01.01.1854	0.775	John Mercer				M	X	P	257 X 193	L	G+				BW - others may be present.	YNRST				Y	Y	Q - + rock ornament.	X - has depths below surface and pipe diameters, e.g. 7/8".				IPN		C - parish church only.	P - + manse.	N	YLN	Y			Y																												Y	Y						1	Initials: what appear to be the town's inititals form a monogram in the compass boss.	Glass Works (numerous), Colliery, .G [grate], Chemical Works, Potteries [with Sun Pans], Poor House, Timber Yards, Free School, R.C. Chapel, Corn Mill, Old Coal Pits, Coal Pits, Foundry, Water Shafts, Plate Glass Works, Mill Dams, Tan Yard, Patent Alkali Works, St Thomas Church [in gothic] (Per. Curacy) (with Grave Yard), Crane (at quarry), Oil Works, Copperas Works, Coal Yard, Independent Chapel, Brewery, Town Hall, Market (both with interiors, undescribed), Bowling Green, Distillery, unnamed church with piers, Color Works, Saw Mills, Post Office, Wesleyan Chapel.	
PRO 15989	06.12.1994	Wilts RO EA 99	WLT	Martin	Marten	Great Bedwyn	H	E		SU286603	283 NW		775	9933.20	Y	SUR is from award.  [OSA is for Great Bedwyn.]	02.02.1815	6	Thomas Phillips, Andover, Hampshire				M	A	C	65 X 54	CE	G				BRKN		Y	N				C											Y			Y																			B	B	R			H		R	Y		Y		R	Y		Y	2		Possible former division between fields and common.	
PRO 16013	12.12.1994	Bath City RO (unnumbered)	SOM	Bath	Bath		-	S		ST750652	265 SW		775	4388.05	Y	Bottom left:  `Surveyed by order of the Town Council of the City of Bath in the years 1852, 1853, 1854 by [signed] Cotterell & Spackman'.  52 pairs of (mostly) double-elephant sheets, plus index on a copy of the published 8-chain map of 1852 (cf 16012).  `Scale of feet' in gothic.  Some subsequent building has been added, evidenced by vignetted rather than solid tint infill.  The plans were originally folded 2 x 2, and lived in a box 25.5 X 17.5 inches broad by 28.5 inches deep; some have since been conserved and flattened, but some are still kept in the box, which has a plinthed bottom and a protruding lid.  The plans were originally edged with green silk, and some have a mark `Warranted' and `Samuel Kidd & Son Dundrum'.  There are about a dozen half-sheets (2 elephants instead of 4).  The sheet numbering is somewhat erratic, with different `grids' north and south of the river, and with the transriparian sections left blank: a most unusual arrangement, to say the least.  There are very few sanitary features, and altogther the similarity to later mapping (such as Huyton or Oystermouth) is very marked.  This is very different from the contemporary `Board of Health' mapping.  Inside the box lid is a note of 1965, saying that it was made pursuant to powers in the Bath City Act of 1851 which authorise the making of a map, and that because of subsequent additions  there is `danger' in allowing `all and sundry to see it and perhaps jump to conclusions'!  [OSA: Walcot, 840.972; St James, 53.423; St Michael, 25.576; St Peter & St Paul, 19.374; Bathwick, 393.980; Twerton, 1005.195;  Lyncombe & Widcombe, 1849.531.]	01.01.1854	0.375					M	X	P	123 X 98 (x 49)	L	G				BRPX - all buildings carmine, except for public buildings, which are grey; most roads red, but some in the centre are grey; roadside verges, etc, pale blue; neat lines red; watermains red, sewers blue, reservoir surround yellow and its top pale blue.	YNS - + viaduct, by x-arches.			X - pipe diameters, in inches.				SW - with diameters and some annotations, e.g. `stone sewer', `old stone sewer', also gauging house, `fs', `fc', reservoir, a few flow-arrows, a few manholes, waste pipe.		XN				X - `scale'.	RV	N	YN - + basins, engine house, reservoir.	Y			AN - and not much of that.												N								Y - line-with-line-at-right-angles type.		P						Y	Y					Red neatlines.	52		Walls (double lines, no infill), pipe diameters in inches, PS, Canal Office, Reservoir, Friends Burial Ground, house numbers, Proprietory College, Infant School, Police Station, Parochial School, numerous named churches and chapels (including a Synagogue), church buttresses, privvies (large dot-and-circle), Temperance Hall, Alms House, X for archways [surprisingly few], Savings Bank, Free School, Theatre, National School, Roman Catholic School, Town Hall [Guildhall on the smaller map], Abbey Church, Scientific Institution, St John's Hospital, Pump Room, Hot Baths, Tepid Baths, Cross Bath, Royal Baths, Kingston Baths, Commercial Rooms, Assembly Rooms, Penitentiary, named Cemetery, Cattle Market, Eastern Dispensary, Bath Ear & Eye In [sic]; some garden walls have dash infill, which might perhaps be railings; more Almshouses, named Pound, Racket Court, Quakers Meeting House, several named hospitals, Dispensary, Industrial School, Baths and Washouses, Statue, Victoria Column, Fives Court, a few steps to buildings, Cleveland Baths (evidently riparian swimming).	
PRO 16148	25.01.1995	Staffs RO Q/RDc 58C	STF	Yoxall [Hoarcross]	Yoxall [Hoar Cross]		P	E		SK123228	140 SE		775	5103.08	X	Parish of Yoxall in title; `Hoarcross' on back.  Made to show lands having rights of common in Needwood Forest, cf 16147.  SUR from Act; it is unclear which was responsible for which maps.	01.01.1803	8	Robert Henry Wyatt, Barton-under-Needwood, Staffordshire, and Samuel Botham, Uttoxeter, Staffordshire				M	X	C	44 X 40	CE	G				BWLPX - grey title infill; encroachments, yellow.																		Y			YU																																		Y	1		Some woodland scraped out.	
PRO 16159	25.01.1995	Staffs RO Q/RDc 58C	STF	Dunstall	Dunstall		T	E		SK189202	140 SE		775	1605.08	X	Made to show lands having rights of common in Needwood Forest, cf 16147.  SUR from Act; it is unclear which was responsible for which maps.	01.01.1804	6	Robert Henry Wyatt, Barton-under-Needwood, Staffordshire, and Samuel Botham, Uttoxeter, Staffordshire				M	X	P	58 X 103	CE	G				SX - commons, yellow.																	YN	Y			Y																					N								F					Y	2			
PRO 11838	28.03.1991	PRO MAF 1/498	LIN	Kirton	Kirton [Kirton Marsh]		P	E	County enrolled copy at 17470.	TF320380	128 SE	James Martin, Wainfleet St Mary, Lincolnshire, Land Surveyor	776	5933.83	E	Kirton Marsh; includes part of Frampton, though this is not mentioned in the opening of the apportionment.  Entry revised 17:11:93.  [OSA is for the main part of Kirton parish only; SUM is for the first class area only.]	02.02.1873	3	R.S. Booth, Wainfleet		1	29.01.1874	M	C	P	217 X 109, 210 X 84	PE	G	Y			RWAEPX - new roads pink, new embankments red herringbone; two-tone grey-brown in titles; grey parish names.																CN																											P		T					Y						2		Part 2 is a 6-chain plan of part of the old enclosures with BOR, and COL = RW.  The main map has new allotments, roads (pink fill) and embankments in red, and old creeks, embankments, etc in black.  One creek is named.  New Sea Banks, Outfall Sea Sluice.	
PRO 14649	02.06.1994	Hants RO 21M61/3	HMP	Hurstbourne Tarrant	Hurstbourne Tarrant		P	E		SU372519	283		779	5148.50	X	Mostly Doles Woods and The Grubbed Grounds, also some exchanges not mapped on NS-1.  Award is at Q23/1/2, pp 450-69.	01.01.1819	6					M	A	C	103 X 62	CE	G				RAKNPX - common (grubbed grounds) edged yellow; grey shading of adjoining names.			T											T					S - houses have alternate thick and thin hatching.		Y - `grubbed grounds', much smaller and less elaborate symbols than the remaining coppices.		N - ordinary tree symbols.										N												H		L	Y		P			Y		Y	5		One part is at 1 chain.  Gothic used for variety in flourishing title.	
PRO 17117	24.07.1995	ERRO IA - Tickton	YOE	Tickton	Tickton		T	E	Hull Uni Lib: DDCV/165/2 and /3; Hull City Lib.	TA065417	72 E		779	779.00	Y	Title and summary of areas have been struck through.  [OSA is for Tickton and Hull Bridge township.]	04.06.1791	8	John Wood, Junr.				M	A	C	88 X 70	X	G-				BWGJ - tree shadow, scale dicing, buildings and water grey.			N						T - by letters.							ADN					YU - grey.												N							Y							Y	Y		Y	O	Y	Y		Y	1			
PRO 14745	08.06.1994	Northants RO Inclosure plan no. 24	NTP	Little Oakley	Little Oakley		P	E	Northants RO also has a photocopy, Map 2844.	SP893858	171 SW		779.778	779.77	Y	Duke of Buccleuch's estates; same act and award as 14736 and 14746.	01.01.1808	9	J. Eagle				M	A	C	31 X 56	CE	G+				RGJN - colours show old and new enclosures of the duke and duchess of bucclech: note explains this.		Y		R										FLX - path names.																										B					T		Y	Y		Y	YO		Y		Y	1		Avenue of trees.  Path labels, open field names and some ALL to duke in gothic.	
PRO 12820	13.08.1993	PRO MAF 1/148	WOR	Newbold-on-Stour	Newbould-on-Stour		P	E	The county enrolled copy is in Warwickshire RO, and is described at 15949; Warwick RO has a further copy, CR 503.	SP239457	200 SE, 201 SW	Mathhew Hastings, Ensham, Oxfordshire, Land Surveyor	780	5347.09	Y	Map is dated `1848-9'.  [This is part of Tredington on OS 6" 1st edition, whence OSA.]	01.01.1849	3	? Matthew Hastings		1	17.06.1850	M	C	P	151 X 137	PE	G	Y			BCEGK	YER - moreton & stratford tramway: earthworks by annotation; level crossings, `arch'; rails shown discontinuously.	Y	N	DR			Q - also lime pit.			X	D					N			Y																					B		R			T			Y					Y			1		Churchyard.  Map is slightly old-fashioned compared with most MAF 1s.  SUR is on grounds of VAL signing map.	
