claims_id	struct_idx	county	phillimore	vill	holding	ten_in_chief	lord_86	overlord_66	lord_66	claimant	defendant	jurors	xref	notes	text
2680	17436	LC	CS3	Tathwell	1 mill	Robert the bursar	Robert the bursar	-	Aghmund	Robert the bursar	Jocelyn son of Lambert	South Riding [`Louthesk' Wapentake]	"38,12"	Jocelyn did not hold in Tathwell so this statement presumably refers to one of the two mills recorded as held by Robert.	"In the same hundred ^[Tathwell]^ the mill which was Aghmund's and [which] after him Lambert and Jocelyn his son had, the Wapentake says that Robert the bursar ought to have with his land."
2700	17437	LC	CS4	Louth	1 mill	Bishop of Lincoln	Bishop of Lincoln	-	Bishop of Lincoln	Bishop of Lincoln	Count Alan	South Riding [`Louthesk' Wapentake]	"7,56"	Count Alan is not recorded as holding in Louth so the disputed mill is presumably one of the 13 recorded on the bishop's manor of Louth	"In Louth hundred the Bishop of Lincoln claims 1 mill against Count Alan, and the Wapentake testifies it ought to be the same Bishop's."
2720	17438	LC	CS5	Louth?	land	Bishop of Lincoln	Bishop of Lincoln		Bishop of Lincoln	Bishop of Lincoln	William of Percy?	South Riding [`Louthesk' Wapentake]	"7,56?"	"Hill, Medieval Lincoln, suggested the lands were those in 7,56, a suggestion supported by the fact that this is the only holding  attributed to the Church of Lincoln before 1066. William of Percy has a predecessor named Alsi who held in the Wapentake."	"Those lands which Alsi and Ulfgrim had in Lindsey they place [among the lands of] the Church of St Mary, Lincoln, and at Bishop Wulfwige's discretion, and so Bishop Remigius claims them because they had ˙160 for the lands themselves before 1066."
2740	17439	LC	CS6	Haugham & Maidenwell	3 carucates & 7 bovates	Earl Hugh	Earl Hugh	-	Godric & Edric	King William	Earl Hugh	South Riding [`Louthesk' Wapentake]	"13,33;44"	Godric and Edric held in both Haugham (with Aelfeva) & Maidenwell (with Aleifr).	"In Burwell hundred the King's officers claim against Earl Hugh in Haugham and Maidenwell the lands of the two brothers Godric and Edric, and the men of the Wapentake have adjudged them for the King's use."
2760	17440	LC	CS7	Little Carlton	1/2 carucate	William of Percy	William of Percy	-	Alsi	William of Percy	Kolsveinn (of Lincoln)	South Riding [`Louthesk' Wapentake]	"22,29"	Kolsveinn did not hold in Carlton so this refers to part of the 3 carucates held by Percy in Reston and Carlton	"In [Little] Carlton hundred William of Percy claims 1/2 carucate of land against Kolsveinn [* of Lincoln *], and the Wapentake testifies in favour of the same William."
2780	17441	LC	CS8	Yarburgh	1/2 carucate	King William	King William	-	King Edward	Alfred of Lincoln	King William	South Riding [`Louthesk' Wapentake]	"1,87"	The king had 2 1/2 carucates and 1 1/3 bovates in Yarburgh; the jurors allow a fraction of Alfred's claim	"In Somercotes hundred Alfred of Lincoln claims 1/2 carucate of land against the King in Yarburgh, but the Riding says that he has nothing there except 9 1/2 acres and 1 plot, the jurisdiction of which lies in the King's manor of Gayton[-le-Wold]."
2800	17442	LC	CS9	Keddington	1 mill	Rainer of Brimeux	Rainer of Brimeux	-	Jaulfr?	Siward Buss	Alfred (of Lincoln)	South Riding [`Louthesk' Wapentake]	"40,17?"		"In the same hundred ^[Somercotes]^ Siward Buss claims 1 mill against Alfred [* of Lincoln *], and the men of the Riding [say] that Alfred [* of Lincoln *] has half in Rainer of Brimeux's [manor] of Keddington and [that] the Bishop of Durham has the other half as a jurisdiction of Keddington."
2820	17443	LC	CS10	Stewton	3 bovates	Bishop Odo of Bayeux	Bishop Odo of Bayeux	-	Eskil	Alfred (of Lincoln)	Ilbert of Lacy	South Riding [`Louthesk' Wapentake]	"4,73. 27,26"	"Alfred held 13 bovates in Stewton; his claim perhaps refers to the remaining 3 bovates in the vill, held by the bishop of Bayeux"	In `Skidbrooke' hundred Alfred [* of Lincoln *] claims 3 bovates of land in Stewton against Ilbert. The men of the Riding say that Alfred [* of Lincoln *] ought to have them himself.
2840	17444	LC	CS11	Withcall	1 church	Rainer of Brimeux	Rainer of Brimeux	-	Jaulfr	Rainer of Brimeux	Ilbert of Lacy	South Riding [`Louthesk' Wapentake]	"40,26"	"40,26 Rainer held 1/3 of the church and claimed the other 2/3rds; these are not recorded on Ilbert's fief."	"In Withcall hundred Rainer claims the whole minster [church], and the ?rq? men of the Riding say that it was his predecessor's, and [so was] the third part of the jurisdiction, and that Ilbert of Lacy [has] 2 parts of the jurisdiction over the church and the land which is an adjunct of it."
2860	17445	LC	CS12	Claythorpe	1 carucate	Earl Hugh	Earl Hugh	-	Vigleikr	Robert the bursar	Earl Hugh	South Riding [`Calcewath' Wapentake]	"13,3"	"Earl Hugh held 12 carucates in Claythorpe and 3 other places, jurisdictions of Greetham (13,1), Robert's claim evidently referring to part of this holding; Vigleikr is not named there but he was Robert's predecessor elsewhere (38,8;10-11. CS,36)."	In Swaby hundred Robert the bursar claims against Earl Hugh 1 carucate of land in Claythorpe. The men of the Riding say that the jurisdiction lies in Greetham and was Vigleikr's and he himself left the land and forfeited it and they say that Robert the bursar has nothing there.
2880	17446	LC	CS13	Well	1 carucate	Gilbert of Ghent	Gilbert of Ghent	-	Tonni <of Lusby>	Losoard	Gilbert of Ghent	South Riding [`Calcewath' Wapentake]	"4,61-62. 24,68"	"Thorulf was the predecessor of Bishop Odo, whose tenant was the claimant, Losoard; Gilbert succeeded Tonni."	"In Rigsby hundred Losoard claims against Gilbert of Ghent 1 carucate of land in Well. The men of the Riding say that before 1066 Thorulf had it with full jurisdiction and afterwards Tonni <of Lusby> had it, and [that] this land was delivered to Bishop Odo by charter, but they have not seen the King's writ for it, and he had it himself on the day he was taken, and later he was dispossessed."
2900	17447	LC	CS14	Ulceby	2 bovates	Rainer of Brimeux	Rainer of Brimeux	-	Jaulfr	Rainer of Brimeux	Earl Hugh	South Riding [`Calcewath' Wapentake]	"40,22"	Recorded on Rainer's fief but not Earl Hugh's.	"In the same hundred ^[Rigsby]^ Rainer of Brimeux claims against Earl Hugh 2 bovates of land in Ulceby, and the men of the Riding say that he ought to have nothing except the jurisdiction in Cumberworth, and the Earl [ought to have] the land."
2920	17448	LC	CS15	Mablethorpe	5 bovates	Earl Hugh	Earl Hugh	Earl Harold	Bergthorr & Sumarlithi & Godric & Siward	Bishop of Durham	Earl Hugh	South Riding [`Calcewath' Wapentake]	"13,7"	"Earl Hugh's holding in Mablethorpe is subsumed in a larger complex; neither Blunt nor the pre-Conquest landowners are named there. Blunt also acquired 49,2 from Godric & Siward, presumably the same individuals."	"In Theddlethorpe hundred the Bishop of Durham claims against Earl Hugh 2 bovates in Mablethorpe. The men of the Riding say that he has nothing except 1 bovate which was Bergthorr's and that the jurisdiction is Earl Hugh's in Greetham. There also William Blunt [has] 3 bovates which were Sumarlithi's, Godric's and Siward's, and the jurisdiction is in Greetham, by witness of the whole Riding."
2940	17449	LC	CS16	Huttoft	2 bovate	Alfred of Lincoln	Doda & Bernard	-	Stiupi & Siward <of Thistleton>	Alfred of Lincoln	Earl Hugh	South Riding [`Calcewath' Wapentake]	"27,60-61"	"The holdings are recorded on Alfred's fief; Earl Hugh's jurisdiction in Huttoft (13,8) is aggregated with that for several other places."	"In Huttoft hundred Alfred [* of Lincoln *] claims 2 bovates of land, and the men of the Riding say that he ought to have one with full jurisdiction, and the other likewise is his, but Earl Hugh has the jurisdiction in Greetham."
2960	17450	LC	CS17	Sutton[-on-Sea]	1 bovate	Ketilbiorn <of Nettleton>	Ketilbiorn <of Nettleton>	-	Siward	Alfred of Lincoln	Ketilbiorn <of Nettleton>	South Riding [`Calcewath' Wapentake]	"68,14"	"The bovate was a jurisdiction of Huttoft, presumably Alfred's manor there (27,60). The Siwards of Huttoft and Sutton were probably the same individual."	In the same hundred ^[Huttoft]^ the Riding says that the same Alfred [* of Lincoln *] ought to have the jurisdiction of 1 bovate which Alfred [* of Lincoln *] claims against Ketilbiorn <of Nettleton> in Sutton[-on-Sea].
2980	17451	LC	CS18	Mumby	2 bovates	Gilbert of Ghent	Gilbert of Ghent	-	Tonni <of Lusby>	Count Alan	Gilbert of Ghent	South Riding [`Calcewath' Wapentake]	"24,55"	Gilbert's predecessor here is Tonni <of Lusby>. The bulk of Gilbert's lands came from Ulf Fenman but Tonni ranked second among his predecessors.	"In Mumby hundred Count Alan claims 2 bovates of land against Gilbert of Ghent, but the Riding says that Gilbert's predecessor had full jurisdiction over it before 1066 and it ought to be his."
3000	17452	LC	CS19	Willoughby	7 bovates	Gilbert of Ghent	Gilbert of Ghent	Tonni <of Lusby>	Alnoth the priest	Bishop of Durham	Gilbert of Ghent	South Riding [`Calcewath' Wapentake]	"24,59"	"Tonni <of Lusby> held the manor of Willoughby in 1066 (24,54) but this claim may refer to the outlier in Willoughby (24,59); an Alnoth was the Bishop's predecessor at 3,21;25"	"In Willoughby hundred the Bishop of Durham claims the land of Alnoth the priest against Gilbert of Ghent, and the men of the Riding say that they never saw the Bishop's predecessor put in possession of it, either by writ or officer, and they testify [it is] for Gilbert's use."
3020	17453	LC	CS20	Hanby	20 acres of woodland	Gilbert of Ghent	Gilbert of Ghent	Tonni <of Lusby>	Tonni <of Lusby>?	Ivo Tallboys & Ketilbiorn <of Nettleton>	Ivo Tallboys	South Riding [`Calcewath' Wapentake]	-	"Not recorded elsewhere. Ivo Tallboys had an interest in Hanby (14,86;101) but Ketilbiorn is not recorded as holding anywhere in `Calcewath' wapentake. The woodland is presumably subsumed in one of the entries for Willoughby manor (24,54-60)."	"In the same hundred ^[Willoughby]^ the men of the Riding testify that Ketilbiorn <of Nettleton> ought to have 20 acres of woodland in Hanby, and Ivo Tallboys the jurisdiction."
3040	17454	LC	CS21	[Tattershall] Thorpe	2 carucates	Bishop of Durham	Bishop of Durham	-	Harold (brother of Aelfric and Guthfrithr)	Eudo son of Spirewic	Bishop of Durham	South Riding Horncastle Wapentake	"3,15"	"Eudo claimed Thorpe, a jurisdiction of Kirkby-on-Bain (3,13) held by Harold. Another of his claims against the bishop, to Spilsby (3,22), appears to be unrelated and concerns the North Riding."	"Concerning the claim [disputed] between the Bishop of Durham and Eudo son of Spirewic, the men of Horncastle Wapentake have borne witness, with the agreement of the whole Riding, that the three brothers, Harold, Guthfrithr and Aelfric, divided their father's lordship land equally and jointly, and that only Harold and Guthfrithr divided their father's jurisdiction, without the third brother, and they held it equally and jointly before 1066."
3060	17455	LC	CS22	Langton-by-Wragby & Torp	6 bovates	Bishop of Durham	Bishop of Durham	-	Godwin & Gunnhvati	Eudo son of Spirewic	Bishop of Durham	South Riding `Wraggoe' Wapentake	"3,10"	"Eudo held the manor of Little Sturton (29,1) of which the 6 bovates of Langton was a jurisdiction. Guthfrithr's son are identified in 29,1 as Godwin & Gunnhvati."	"Concerning the jurisdiction of 6 bovates about which there is a claim [disputed] between the Bishop ^[of Durham]^ and Eudo [* son of Spirewic *] in Langton[-by-Wragby] and in {Torp}, the men of `Wraggoe' Wapentake say that the said two brothers had the jurisdiction equally and jointly before 1066, but in 1066 Guthfrithr's sons had the whole jurisdiction, but they do not know how they had it, whether by force or by their uncle's gift."
3080	17456	LC	CS23	Langton-by-Wragby	140 acres of woodland	Gilbert of Ghent	Gilbert of Ghent	-	Tonni <of Lusby>	Robert the bursar	Gilbert of Ghent	South Riding `Wraggoe' Wapentake	"24,16"	"Gilbert held Baumber (24,20) whose predecessor was Ulf Fenman, Tonni holding one of its dependencies (22,23), acquired by William of Percy (22,23); Ulf & Tonni were Gilbert main predecessors. Robert the bursar held in the same vill (38,11)."	"Concerning the claim which Robert the bursar makes against Gilbert of Ghent about the woodland which is in Langton[-by-Wragby], `Wraggoe' Wapentake says, with the agreement of the whole Riding, that Tonni <of Lusby> had it before 1066 with full jurisdiction in Baumber, and therefore Gilbert of Ghent rightly has it."
3100	17457	LC	CS24	Hainton & Wragby	#NAME?	Erneis of Buron	Erneis of Buron	-	Countess Judith?	Robert the bursar	Erneis of Buron	South Riding [`Wraggoe' Wapentake]	"34,12"	Erneis held in Wragby but the other claims cannot be traced.	"Concerning the underwood which Robert the bursar claims against the King in Hainton and against Erneis of Buron in Wragby, by the witness of the Wapentake he has nothing there. But over Earl Hugh's 12 acres and the Bishop of Bayeux's 8 acres he has jurisdiction according to the witness of the men of the Wapentake and Riding."
3120	17458	LC	CS25	Torrington	3 1/2 bovates	Roger of Poitou	Roger of Poitou	-	Klakkr	Rainer of Brimeux & Roger of Poitou	Alfred of Lincoln	South Riding [`Wraggoe' Wapentake]	"27,21"	"Alfred of Lincoln's 3 1/2 bovates lay in Torrington, a jurisdiction of Hainton (16,14), both held by Klakkr in 1066. Rainer held 3 1/2 bovates as a manor in Hainton itself (40,9)."	"[In] the claim which Rainer of Brimeux made against Alfred of Lincoln concerning the jurisdiction of 3 1/2 bovates of land, he ought to have nothing there, as the men of the Wapentake and Riding testify; but Roger of Poitou ought to have it [as belonging] to the house of his predecessor Klakkr in Hainton."
3140	17459	LC	CS26	Legsby	4 bovates	William of Percy	William of Percy	-	Countess Judith?	Erneis of Buron	William of Percy	South Riding [`Wraggoe' Wapentake]	"22,37"	"The jurors pronouncement is explained by the DB entry which states that the jurisdiction of the 4 bovates lay in Wragby, a manor of Erneis (34,12)."	"Concerning the claim which Erneis of Buron makes against William of Percy in Legsby about the jurisdiction of 4 bovates, the Wapentake says that the same Erneis ought rightly to have it."
3160	17460	LC	CS27	Benniworth?	31/2 carucates	Ivo Tallboys	Ivo Tallboys	-	Siward	Archbishop of York	Ivo Tallboys	South Riding [`Wraggoe' Wapentake]	"14,59"	"This claim probably refers to land in Benniworth where both Ivo and the archbishop (2,16) held land, acquired from Siward and Godwin respectively. Siward was also the predecessor of Ivo at 14,9-10;15;30-31;34-36 but these holdings were in the North Riding"	"Concerning the claim which Archbishop Thomas made - that is, that he ought to have jurisdiction over the land of Siward, the predecessor of Ivo Tallboys - the Wapentake says, and the Riding, that Siward held his land with as full jurisdiction as Godwin, the Archbishop's predecessor, held his, and therefore he does not claim it justly."
3180	17461	LC	CS28	[South] Willingham	6 1/2 bovates	Bishop Odo of Bayeux	Bishop Odo of Bayeux	Almer	Eskil	Archbishop of York	Bishop Odo of Bayeux	South Riding [`Wraggoe' Wapentake]	"4,53"	"The archbishop's manor in South Willingham is described in 2,1."	"Archbishop Thomas ought to have jurisdiction over Eskil's land which the Bishop of Bayeux has in [South] Willingham because, as the whole County testifies, the Archbishop's predecessor had full jurisdiction over the same land, and the Bishop's men wrongfully took the same jurisdiction away from the same Archbishop."
3200	17462	LC	CS29	[South] Willingham	10 bovates	Rainer of Brimeux	Rainer of Brimeux	Almer	Koddi	Archbishop of York	Rainer of Brimeux	South Riding [`Wraggoe' Wapentake]	"40,8"	"Rainer's entry notes a claim, by a marginal 'k'. Willingham is described there as a jurisdiction of Bramwith, held by Koddi (40,7); it had evidently been a jurisdiction of the archbishop's manor of [South] Willingham (2,1), held by Almer, before 1066."	"Before 1066 Almer, Archbishop Thomas's predecessor, was in possession of the jurisdiction of 10 bovates in [South] Willingham. This land was Koddi's and is now Rainer of Brimeux's; it was pledged for ˙3 before 1066. Now the men of the Riding affirm that the Archbishop ought rightly to have this jurisdiction until ˙3 are paid to him."
3220	17463	LC	CS30	Stainfield	12 bovates	William of Percy	William of Percy	-	Tonni <of Lusby>	Gilbert of Ghent & Norman of Arcy	William of Percy	South Riding [`Wraggoe' Wapentake]	"22,17"	"Norman of Arcy's interest is not apparent; but Tonni was an important predecessor of Gilbert. The jurors statement seems also to imply that he had a manor of Barlings, unrecorded in the main text. A royal grant trumped everything."	"Gilbert of Ghent and Norman of Arcy claim against William of Percy the jurisdiction of 12 bovates in Stainfield, which belongs to Barlings and was Tonni <of Lusby>'s. But the Wapentake, and the County, says that Gilbert ought to have it, not Norman. But William of Percy holds it by the King's gift as Robert son of Stigand held it."
3240	17464	LC	CS31	Apley	7 bovates	William of Percy	William of Percy	-	Tonni <of Lusby>	Gilbert of Ghent?	William of Percy	South Riding [`Wraggoe' Wapentake]	"22,18-19"	"This statement seems also (see CS30) to imply that Tonni had a manor of Barlings, unrecorded in the main text; the claimant was presumably Gilbert of Ghent."	They put forward the same argument concerning the jurisdiction of 7 bovates in Apley because it lies in Barlings and Tonni <of Lusby> held it before 1066.
3260	17465	LC	CS32	Apley	2 bovates	William of Percy	William of Percy	-	Aelfric	Bishop of Durham	William of Percy	South Riding [`Wraggoe' Wapentake]	"3,8. 22,20"	"The 2 bovates were a jurisdiction of Bullington, a manor of the Bishop of Durham (3,8); both had been held by an Aelfric in 1066. Percy's holding is annotated with a marginal 'k', for a claim."	"Also in Apley the Bishop of Durham claims the jurisdiction of 2 bovates against William of Percy, and the Wapentake says that the same Bishop's predecessor had it and he ought to have it himself in Bullington."
3280	17466	LC	CS33	Baumber & Edlington	1 carucate	Gilbert of Ghent	Gilbert of Ghent	-	Tonni <of Lusby>	Robert the bursar	Gilbert of Ghent	South Riding [`Wraggoe' Wapentake]	"24,20;22"	"These two 1/2 carucates must be subsumed in Gilbert's manors of Baumber & Edlington (24,20;22). Ulf Fenman, not Tonni, is Gilbert's predecessor there; but Tonni may have been his 'man' for the subholdings, as he was on another fragment of Baumber (22,23)."	The Wapentake of Horncastle says that Robert the bursar wrongfully makes a claim against Gilbert of Ghent about 1/2 carucate of land in Baumber and about another 1/2 carucate in Edlington. Before 1066 Tonni <of Lusby> had this land. Robert had several holdings in Horncastle but the specific basis of his claim is not apparent.
3300	17467	LC	CS34	Coningsby	fishery & a plot	Ketilbiorn <of Nettleton>	Ketilbiorn <of Nettleton>	-	Siric	Robert the bursar	Ketilbiorn <of Nettleton>	South Riding [`Wraggoe' Wapentake]	"68,6"	"Aki was Robert's main predecessor (38,1-2;13)."	"Robert the bursar ought to have jurisdiction over the fishery and over the plot which Ketilbiorn <of Nettleton> holds in Coningsby because Aki, Robert's predecessor, had it before 1066."
3320	17468	LC	CS35	Ashby[-by-Partney]	1bovate & 1 mill	Earl Hugh	Earl Hugh	-	Earl Harold	Ivo Tallboys	Earl Hugh	South Riding `Candleshoe' Wapentake	"13,6"	"Earl Hugh's holding in Ashby does not mention a mill; it was a jurisdiction of his manor of Greetham (13,1). Ivo did not hold in the vill so the nature of his claim is unclear."	"`Candleshoe' Wapentake says that Ivo Tallboys ought to have in Ashby[-by-Partney] what he claims against Earl Hugh, that is, 1 mill and 1 bovate of land, but the jurisdiction belongs to Greetham."
3340	17469	LC	CS36	Scremby	2 carucates	Gilbert of Ghent	Gilbert of Ghent	Ulf (Fenman)	Vigleikr	 Robert the bursar	Gilbert of Ghent	South Riding [`Candleshoe' Wapentake]	"24,47"	"Vigleikr was Robert's predecessor at 38,8;10-11 (also CS12); Scremby was a jurisdiction of Gilbert's manor of Bardney (24,17). Robert's claim, based upon a predecessor who had forfeited his land to the lord of the jurisdiction, is similar to CS37."	"Concerning 2 carucates of land which Robert the bursar claims against Gilbert of Ghent in Scremby through Vigleikr, his predecessor, the Wapentake says that he had only 1 carucate and the jurisdiction of that was in Bardney; Vigleikr, however, forfeited that land to [the loss of] his lord, Gilbert, and therefore Robert has nothing there, by the witness of the Riding."
3360	17470	LC	CS37	Scremby	1 carucate	Gilbert of Ghent	Gilbert of Ghent	Ulf (Fenman)	Godric	Ketilbiorn <of Nettleton>	Gilbert of Ghent	South Riding [`Candleshoe' Wapentake]	"24,47"	This case is similar to CS36: a claim based upon a predecessor who had forfeited his land to the lord of the jurisdiction. Godric is not recorded as holding in Scremby nor as a predecessor of Ketilbiorn in Lincolnshire.	"Also in Scremby Ketilbiorn <of Nettleton> claims 1 carucate against Gilbert of Ghent through Godric, but they say that he had only 1/2 carucate and its jurisdiction was in Bardney; and Ketilbiorn wrongfully claims it as the Wapentake says, because his predecessor forfeited it."
3380	17471	LC	CS38	-	-	Bishop of Durham & Eudo son of Spirewic	Bishop of Durham & Eudo son of Spirewic	Sighvatr & Godwin?	Alnoth & Fenkell & Eskil	Bishop of Durham & Eudo son of Spirewic	Bishop of Durham & Eudo son of Spirewic	South Riding `Candleshoe' & Bolingbroke Wapentakes	"3,21-26;43-47. 29,10-13;16-17;30-32"	"Eudo acquired the lands of Sighvatr (29,10), and the bishop of Durham those of his brothers (3,21-26;43-47). Their father was probably the Godwin who held 29,11-13;16-17;30-32. See also CN30."	"The men of `Candleshoe' Wapentake testify, with the consent of the whole Riding, that Sighvatr, Alnoth, Fenkell and Eskil equally and jointly divided their father's land between themselves before 1066 and held it in such a way that if a royal expedition was necessary and Sighvatr could go, the other brothers helped him. After him, the next one went and Sighvatr, with the rest, helped him; and so on with them all. However, Sighvatr was the King's man. [The men] of Bolingbroke [Wapentake] testify to the same with the above men, and the South Riding also agrees."
3400	17472	LC	CS39	Saltfleet &  `Mare' & `Swine'	toll	-	Ansger of `Skidbrooke' & Rainald & Humphrey & Geoffrey	-	-	King William?	Ansger & Rainald & Humphrey & Geoffrey	South Riding `Louthesk' Wapentake	-	"Neither the toll, the places named, or the individuals with bynames are recorded elsewhere in the text; and only a Geoffrey among the 1086 landowners held in `Louthesk' Wapentake; see also CS40."	"In Saltfleet, `Mare' and `Swine' a new toll has come into use and Ansger of `Skidbrooke' has been receiving it, also Rainald, Humphrey and Geoffrey; `Louthesk' Wapentake, and the whole South Riding, says that this toll did not exist before 1066. Godric paid a toll of 1d according to the testimony of Ulfkil of Asterby who saw it. Arnketil of Withern testifies that he himself saw Ansger receive the toll from 24 ships from Hastings."
3420	17473	LC	CS40	Saltfleet	customary dues	-	Hugh the servant	-	-	King William?	Hugh the servant	South Riding [`Louthesk' Wapentake]	-	"Neither Saltfleet, the customary dues, or Hugh the servant is recorded elsewhere in the text, and no Hugh held in `Louthesk' Wapentake; see also CS39"	In Saltfleet Hugh the servant receives the customary dues of the ships which come there willingly and unwillingly. These [dues] did not exist there before 1066; they originated this new practice and the men of the Riding say that they saw a claim made for it.
3460	17475	LC	CN1	Barton[-upon-Humber] & [South] Ferriby	toll	Gilbert of Ghent	Gilbert of Ghent	-	Ulf (Fenman)	King William?	Gilbert of Ghent	North Riding [Yarborough Wapentake]	"24,13-14"	"Ferries are recorded at both Barton and Ferriby, and a market at Barton; but there is no mention of tolls. The road from Lincoln (and ultimately London) probably terminated at Barton, from where the ferries gave passage across the Humber to the north."	"In Barton[-upon-Humber] and in [South] Ferriby Gilbert of Ghent's men receive a different toll to the one they received before 1066, from bread, fishes, skins and very many other things, for which nothing was ever given."
3480	17476	LC	CN2	Caistor	toll	King William	King William	-	Earl Morcar	King William?	King William	North Riding [Yarborough Wapentake]	"1,65"	"The meaning is unclear. Caistor was more than 10 miles from the nearest point on the coast and almost 20 from Barton; if Barton were not intended, then the ferry was presumably that at Grimsby (4,70. 36,1)."	In Caistor the King's men do likewise.
3500	17477	LC	CN3	Limber	6 bovates	Ivo Tallboys	Ivo Tallboys	-	Earl Morcar	Ivo Tallboys	King William	North Riding [Yarborough Wapentake]	"1,67"	"This statement presumably refers to part of the king's 4 1/2 carucates in [Great] Limber since he held only 3 bovates in [Little] Limber where Ivo held 9 bovates (14,32)."	In Limber Ivo Tallboys claims 6 bovates of land against the King. The men of the County say that he ought to have the land himself and the King the jurisdiction.
3520	17478	LC	CN4	Ulceby	30 acres of meadow	Alfred of Lincoln	Alfred of Lincoln	-	Healfdene?	Alfred of Lincoln	Bishop of Lincoln?	North Riding [Yarborough Wapentake]	"7,22?"	"Of the 4 holdings in Ulceby, this claim probably refers to 7,22 (though no meadow is mentioned there) as both Alfred and the bishop had a predecessor named Healfdene who may have been the source of a dispute."	Instead of 30 acres of meadow which Alfred [* of Lincoln *] claims in Ulceby he ought to have in the same village 1 strip of ploughland.
3540	17479	LC	CN5	Goxhill	4 bovates	Hugh	Hugh	-	(Earl) Morcar	Drogo of la Beuvriﬁre & Alfred of Lincoln	Hugh	North Riding Yarborough Wapentake	"68,40"	"Drogo acquired Morcar's manor of Barrow[-upon-Humber] (30,1), of which Goxhill had presumably been a jurisdiction like Drogo's own holding there (30,2), alienated by Morcar. Alfred held in the same vill (27,1) but the basis of his claim is not apparent."	"Yarborough Wapentake testifies that in Goxhill [* Earl *] Morcar gave Hugh 4 bovates of land with full jurisdiction, which Drogo of la Beuvriﬁre claims. Alfred [* of Lincoln *] claims 1 bovate of this land. The Wapentake says that the land is Hugh's, and the jurisdiction is Alfred's."
3560	17480	LC	CN6	Caistor & Hundon	church of Caistor & its land	King William	King William	-	King Edward	Bishop of Lincoln	King William	North Riding [Yarborough Wapentake]	"1,65"	"The bishop's claim to the church is restated in 1,65."	"The Wapentake testifies that King William gave the church of Caistor to St Mary's of Lincoln in alms; to which church belong 2 bovates of land in lordship, 2 villagers and 1 mill, and in Hundon the jurisdiction of 1 carucate."
3580	17481	LC	CN7	Searby	3 bovates	Count Alan	Count Alan	-	Grimbald Krakr	Jocelyn	Count Alan	North Riding [Yarborough Wapentake]	"12,10"	"The 3 bovates of Searby were an outlier of Count Alan's manor of Kelsey (12,9), acquired from Grimbald. Jocelyn had no predecessor of that name nor did he hold in either vill, so the basis of his claim is not apparent."	"Jocelyn claims 3 bovates of land in Searby against Count Alan. The County says that Jocelyn ought to have it, not Alan."
3600	17482	LC	CN8	Brocklesby	1/2 bovate	Norman of Arcy	Norman of Arcy	-	Ulf & Styrr	Hugh son of Baldric	Norman of Arcy	North Riding [Yarborough Wapentake]	"32,2"	"Norman's 1 1/2 bovates in Brocklesby were a jurisdiction of his manor of Stallingborough (32,1). Hugh also had a manor there (25,7) but no dependent jurisdictions are named."	"Hugh son of Baldric claims 1/2 bovate of land in Brocklesby. The men of the Riding say that the land ought to be his, and the jurisdiction Norman's, through their predecessors."
3620	17483	LC	CN9	Stallingborough	2 manors	Archbishop of York	Herbert (son of Aubrey)	-	Eilafr	Waldin the artificer?	Archbishop of York	North Riding [Yarborough Wapentake]	"2,6-7"	"Rainer was an intermediate holder, the predecessor from whom title derived, here and at 2,8; Eilafr's other holdings devolved upon Waldin the artificer (47,4-7): see also CN1113;18;23."	In Stallingborough the Wapentake says that Rainer the deacon held Eilafr's 2 manors on the day he left this country.
3640	17484	LC	CN10	Stallingborough	1/2 bovate	Archbishop of York	Archbishop of York	-	Jaulfr & Thorfridh	Rainer of Brimeux	Archbishop of York	North Riding [Yarborough Wapentake]	"2,24?"	"Rainer held a manor in Limber (40,1) and the archbishop had two holdings dependent upon Limber: 3 bovates in jurisdiction (2,24) and 1/2 bovate of {inland} (2,25); the claim presumably refers to part of 2,24."	Rainer of Brimeux ought to have the jurisdiction in Limber of 1/2 bovate of land which Archbishop Thomas has in Stallingborough.
3660	17485	LC	CN11	Keelby	1 manor	Archbishop of York	William	-	Eilafr	Waldin the artificer?	Archbishop of York	North Riding [Yarborough Wapentake]	"2,8"	"Rainer was an intermediate holder, the predecessor from whom title derived, here and at 2,6-7; Eilafr's other holdings devolved upon Waldin the artificer (47,4-7). See also CN9;13;18;23."	"Concerning one manor of Eilafr's which Archbishop Thomas now has in Keelby, Rainer the deacon was in possession of it on the day he left this land."
3680	17486	LC	CN12	 [Great] Coates	2 bovates	Alfred of Lincoln	Alfred of Lincoln	-	(Earl) Morcar	Durand Malet	Alfred of Lincoln	North Riding [Bradley Wapentake]	"27,3. 44,8"	"Both Alfred and Durand held in Great Coates, neither holding being precisely 2 bovates so it is unclear who was claiming against whom."	In [Great] Coates Alfred [* of Lincoln *] ought to have the land of the 2 bovates and Durand Malet the jurisdiction [of them] with 3 villagers who belong to it.
